onset	duration	sample	value
5.2597656250	n/a	673.25	10
5.4394531250	n/a	696.25	10
6.4824218750	n/a	829.75	10
7.4863281250	n/a	958.25	10
8.1289062500	n/a	1040.5	10
9.4648437500	n/a	1211.5	10
10.4882812500	n/a	1342.5	10
11.4863281250	n/a	1470.25	11
12.5058593750	n/a	1600.75	10
13.4843750000	n/a	1726	10
14.4707031250	n/a	1852.25	10
15.4511718750	n/a	1977.75	10
16.4570312500	n/a	2106.5	10
17.5058593750	n/a	2240.75	10
18.4746093750	n/a	2364.75	10
19.3164062500	n/a	2472.5	10
20.5078125000	n/a	2625	10
21.5214843750	n/a	2754.75	10
22.1953125000	n/a	2841	10
23.4667968750	n/a	3003.75	10
24.4941406250	n/a	3135.25	10
25.5156250000	n/a	3266	10
26.5097656250	n/a	3393.25	10
27.4414062500	n/a	3512.5	10
28.5332031250	n/a	3652.25	11
29.5097656250	n/a	3777.25	10
30.5273437500	n/a	3907.5	10
31.4628906250	n/a	4027.25	10
32.4257812500	n/a	4150.5	10
33.4355468750	n/a	4279.75	10
34.4531250000	n/a	4410	10
35.4980468750	n/a	4543.75	10
36.0800781250	n/a	4618.25	10
36.4726562500	n/a	4668.5	10
37.5097656250	n/a	4801.25	11
38.5039062500	n/a	4928.5	10
39.4785156250	n/a	5053.25	10
41.4902343750	n/a	5310.75	10
42.5468750000	n/a	5446	10
43.4316406250	n/a	5559.25	10
44.5390625000	n/a	5701	10
45.4492187500	n/a	5817.5	10
46.4687500000	n/a	5948	10
47.5097656250	n/a	6081.25	10
48.5136718750	n/a	6209.75	10
49.4980468750	n/a	6335.75	10
50.4843750000	n/a	6462	11
51.5566406250	n/a	6599.25	10
52.5175781250	n/a	6722.25	10
53.4921875000	n/a	6847	10
54.5566406250	n/a	6983.25	10
55.4941406250	n/a	7103.25	10
56.5292968750	n/a	7235.75	10
57.5019531250	n/a	7360.25	10
58.4609375000	n/a	7483	10
59.4746093750	n/a	7612.75	10
60.4765625000	n/a	7741	11
61.5332031250	n/a	7876.25	10
62.4785156250	n/a	7997.25	10
63.4628906250	n/a	8123.25	10
65.4589843750	n/a	8378.75	11
66.5058593750	n/a	8512.75	10
67.4667968750	n/a	8635.75	10
68.4707031250	n/a	8764.25	10
69.4667968750	n/a	8891.75	10
70.4570312500	n/a	9018.5	11
71.4863281250	n/a	9150.25	10
72.6015625000	n/a	9293	10
73.5625000000	n/a	9416	10
74.4375000000	n/a	9528	10
75.5156250000	n/a	9666	10
76.5546875000	n/a	9799	10
77.5058593750	n/a	9920.75	10
78.4843750000	n/a	10046	10
79.5800781250	n/a	10186.25	11
80.5332031250	n/a	10308.25	10
81.4667968750	n/a	10427.75	10
82.5625000000	n/a	10568	11
84.1855468750	n/a	10775.75	10
85.5449218750	n/a	10949.75	10
86.4531250000	n/a	11066	10
87.5351562500	n/a	11204.5	10
88.2753906250	n/a	11299.25	10
89.4531250000	n/a	11450	10
90.4570312500	n/a	11578.5	10
91.5859375000	n/a	11723	10
92.4941406250	n/a	11839.25	10
93.1582031250	n/a	11924.25	10
94.8085937500	n/a	12135.5	10
95.4746093750	n/a	12220.75	10
96.0253906250	n/a	12291.25	10
96.5878906250	n/a	12363.25	10
97.5039062500	n/a	12480.5	10
